Type de fichier;Type de mouvement;Code client;Date et heure fichier;Numero de mouvement;Date de mouvement;Reference article;Numero de lot;Numero de serie;Quantite article;Reference secondaire;Code barre sur l'article;Designation article;Code fournisseur;Transporteur;Nombre UM;Type UM;Type de conditionnement;Nom livraison;Adresse1 livraison;Adresse2 livraison;Code postal livraison;Localite livraison;Code pays livraison;Tel livraison;Mail livraison;Contact livraison;Numero de palette;Millesime;Couleur du vin;Accise
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060112430;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101456;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060112435;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101456;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060112458;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101456;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060112462;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101456;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060112463;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101456;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060112522;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101456;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060112529;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101456;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060112532;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101456;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060112533;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101456;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060110596;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101461;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060111614;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101461;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060111638;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101461;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060111645;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101461;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060111647;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101461;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060111775;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101461;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060111776;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101461;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060111782;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101461;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060111786;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101461;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060111787;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101461;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060111788;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101461;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060111955;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101461;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060111964;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101461;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060111965;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101461;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060111966;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101461;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060111971;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101461;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060111972;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101461;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060111975;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101461;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060111990;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101461;;;F
